Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
SNPS,"Synopsys, Inc.",366.95,-1.288535,-4.79,Sell,559902,205456038.9,55887094965.78146,60.62283165,6.1678,19000,Technology Services
CDNS,"Cadence Design Systems, Inc.",204.03,-0.74430823,-1.53,Sell,1024723,209074233.69,55635713916.52321,65.33978095,3.1641,10200,Technology Services
MMM,3M Company,100.8,-1.50478796,-1.54,Strong Sell,3121575,314654760,55608553771.92886,10.44657015,9.6672,92000,Producer Manufacturing
EPD,Enterprise Products Partners L.P.,25.52,0.63091483,0.16,Sell,3048228,77790778.56,55398974340.73186,10.04724409,,7300,Industrial Services
MAR,Marriott International,178.99,0.58443383,1.04,Strong Buy,1400205,250622692.95,54297359539.34129,20.95141108,8.5787,377000,Consumer Services
EW,Edwards Lifesciences Corporation,88.7,-0.35946978,-0.32,Buy,1585320,140617884,53771552373.09594,36.92141192,2.4192,17300,Health Technology
SNOW,Snowflake Inc.,163.87,2.15060466,3.45,Strong Buy,3770444,617862658.28,53257749392.2039,,-2.4984,5884,Technology Services
MCK,McKesson Corporation,388.72,5.46993705,20.16,Strong Buy,2170571,843744359.12,53231020827.09855,15.51627788,25.2583,,Distribution Services
OXY,Occidental Petroleum Corporation,58.96,0,0,Sell,13373161,788481572.5600001,53068270752.99999,4.76463696,13.352,11973,Energy Minerals
GIS,"General Mills, Inc.",89.59,-0.31156114,-0.28,Buy,2191701,196354492.59,52621090563.16168,19.34780261,4.6767,32500,Consumer Non-Durables
FCX,"Freeport-McMoRan, Inc.",36.66,0.27352298,0.1,Sell,11133063,408138089.58,52544276077.87253,20.40520984,,25600,Non-Energy Minerals
VMW,"Vmware, Inc.",121.82,-0.76572173,-0.94,Sell,956942,116574674.44,52197844788.14777,39.53269512,3.1026,38300,Technology Services
FTNT,"Fortinet, Inc.",66.4,0.4842615,0.32,Buy,4814477,319681272.8,52062002711.88863,54.75385503,1.2308,12595,Electronic Technology
KLAC,KLA Corporation,375.75,-2.02596996,-7.77,Sell,799110,300265582.5,51552490299.05937,15.32078857,24.6565,14000,Electronic Technology
CHTR,"Charter Communications, Inc.",339,-3.2810271,-11.5,Strong Sell,1035262,350953818,51045007067.98288,11.10790726,31.0005,101700,Consumer Services
