datetime,open,high,low,close,volume
2023-12-31 16:00:00,0.0006399,0.0006562,0.0006385,0.0006524,2039602965.0
2023-12-31 20:00:00,0.0006524,0.0006606,0.0006201,0.0006372,3886905441.0
2024-01-01 00:00:00,0.0006372,0.000643,0.0006276,0.0006294,1645385745.0
2024-01-01 04:00:00,0.0006292,0.0006307,0.000616,0.0006213,1735533129.0
2024-01-01 08:00:00,0.0006214,0.0006243,0.0006177,0.0006228,1728031618.0
2024-01-01 12:00:00,0.0006228,0.0006312,0.0006222,0.0006305,1590155841.0
2024-01-01 16:00:00,0.0006306,0.000653,0.0006305,0.0006519,2394039301.0
2024-01-01 20:00:00,0.0006519,0.0006659,0.0006474,0.0006586,3176316751.0
2024-01-02 00:00:00,0.0006587,0.000678,0.0006555,0.0006709,2371438504.0
2024-01-02 04:00:00,0.0006708,0.0006717,0.0006587,0.0006593,1091896216.0
2024-01-02 08:00:00,0.0006594,0.0006667,0.0006566,0.0006608,1368747835.0
2024-01-02 12:00:00,0.0006609,0.0006655,0.0006432,0.0006497,3097421820.0
2024-01-02 16:00:00,0.0006498,0.0006548,0.0006415,0.0006439,2395606296.0
2024-01-02 20:00:00,0.000644,0.0006481,0.0006356,0.0006402,1857277570.0
2024-01-03 00:00:00,0.0006402,0.0006635,0.0006393,0.000658,2070511951.0
2024-01-03 04:00:00,0.0006581,0.0006687,0.0006543,0.0006664,1535369151.0
2024-01-03 08:00:00,0.0006664,0.0007049,0.0006659,0.0006886,9535413229.0
2024-01-03 12:00:00,0.0006886,0.0006892,0.0005077,0.0006064,20610908141.0
2024-01-03 16:00:00,0.0006065,0.0006107,0.0005662,0.0005776,6263811167.0
2024-01-03 20:00:00,0.0005775,0.0005945,0.0005751,0.0005864,2769217538.0
2024-01-04 00:00:00,0.0005864,0.0005881,0.0005693,0.0005849,2433972597.0
2024-01-04 04:00:00,0.000585,0.0005996,0.0005821,0.0005847,3250876257.0
2024-01-04 08:00:00,0.0005848,0.0005938,0.0005786,0.0005906,3125520499.0
